,from_tag,to_tag,buildid
591,5.1.2,5.2,59545763
592,5.1.2,5.2,59546458
593,5.1.2,5.2,59558016
594,5.1.2,5.2,59558351
595,5.1.2,5.2,59565099
596,5.1.2,5.2,59631729
597,5.1.2,5.2,59679790
598,5.1.2,5.2,59682666
599,5.1.2,5.2,59683038
600,5.1.2,5.2,59685669
601,5.1.2,5.2,59686543
602,5.1.2,5.2,59688849
603,5.1.2,5.2,59692334
604,5.1.2,5.2,59695656
605,5.1.2,5.2,59696429
606,5.1.2,5.2,59696502
607,5.1.2,5.2,59697696
608,5.1.2,5.2,59698387
609,5.1.2,5.2,59724503
610,5.1.2,5.2,59724950
611,5.1.2,5.2,59726479
612,5.1.2,5.2,59727183
613,5.1.2,5.2,59727830
614,5.1.2,5.2,59728040
615,5.1.2,5.2,59738060
616,5.1.2,5.2,59757170
617,5.1.2,5.2,59880187
618,5.1.2,5.2,59882644
619,5.1.2,5.2,59897719
620,5.1.2,5.2,60183139
621,5.1.2,5.2,60184109
622,5.1.2,5.2,60184111
623,5.1.2,5.2,60188452
624,5.1.2,5.2,60188698
625,5.1.2,5.2,60205569
626,5.1.2,5.2,60214509
627,5.1.2,5.2,60219960
628,5.1.2,5.2,60229236
629,5.1.2,5.2,60233631
630,5.1.2,5.2,85326927
631,5.1.2,5.2,85331253
632,5.1.2,5.2,85335694
633,5.1.2,5.2,85342461
634,5.1.2,5.2,85343447
635,5.1.2,5.2,85351510
636,5.1.2,5.2,85351530
637,5.1.2,5.2,85356021
638,5.1.2,5.2,85356047
639,5.1.2,5.2,85363135
640,5.1.2,5.2,85476165
641,5.1.2,5.2,85476183
642,5.1.2,5.2,85476212
643,5.1.2,5.2,85513905
644,5.1.2,5.2,85514732
645,5.1.2,5.2,85546140
646,5.1.2,5.2,85563635
647,5.1.2,5.2,85710877
648,5.1.2,5.2,85724858
649,5.1.2,5.2,85751422
650,5.1.2,5.2,86145901
651,5.1.2,5.2,86146435
652,5.1.2,5.2,86146873
653,5.1.2,5.2,86175254
654,5.1.2,5.2,86198173
655,5.1.2,5.2,86198617
656,5.1.2,5.2,86210949
657,5.1.2,5.2,86215522
658,5.1.2,5.2,86217534
659,5.1.2,5.2,86342211
660,5.1.2,5.2,86344731
661,5.1.2,5.2,86344795
662,5.1.2,5.2,86345970
663,5.1.2,5.2,86346328
664,5.1.2,5.2,86346348
665,5.1.2,5.2,86348725
666,5.1.2,5.2,86352561
667,5.1.2,5.2,86352573
668,5.1.2,5.2,86352615
669,5.1.2,5.2,86352775
670,5.1.2,5.2,86355825
671,5.1.2,5.2,86355838
672,5.1.2,5.2,86356554
673,5.1.2,5.2,86356716
674,5.1.2,5.2,72802786
675,5.1.2,5.2,72815811
676,5.1.2,5.2,72818640
677,5.1.2,5.2,72819426
678,5.1.2,5.2,72822431
679,5.1.2,5.2,72822448
680,5.1.2,5.2,72829902
681,5.1.2,5.2,72835239
682,5.1.2,5.2,72836086
683,5.1.2,5.2,72836461
684,5.1.2,5.2,72840341
685,5.1.2,5.2,72840458
686,5.1.2,5.2,72851867
687,5.1.2,5.2,72858177
688,5.1.2,5.2,72858201
689,5.1.2,5.2,72858218
690,5.1.2,5.2,72860756
691,5.1.2,5.2,72953783
692,5.1.2,5.2,72955025
693,5.1.2,5.2,72964165
694,5.1.2,5.2,72964187
695,5.1.2,5.2,72969511
696,5.1.2,5.2,72970239
697,5.1.2,5.2,72976582
698,5.1.2,5.2,72976764
699,5.1.2,5.2,72978149
700,5.1.2,5.2,72978161
701,5.1.2,5.2,72981180
702,5.1.2,5.2,72981201
703,5.1.2,5.2,72981304
704,5.1.2,5.2,72985739
705,5.1.2,5.2,72985756
706,5.1.2,5.2,72986614
707,5.1.2,5.2,72995053
708,5.1.2,5.2,73003357
709,5.1.2,5.2,73004950
710,5.1.2,5.2,73005133
711,5.1.2,5.2,73009350
712,5.1.2,5.2,73036265
713,5.1.2,5.2,73108117
714,5.1.2,5.2,73140028
715,5.1.2,5.2,73144077
716,5.1.2,5.2,73144577
717,5.1.2,5.2,73155818
718,5.1.2,5.2,73158327
719,5.1.2,5.2,73162999
720,5.1.2,5.2,73163495
721,5.1.2,5.2,73163511
722,5.1.2,5.2,73167089
723,5.1.2,5.2,73173625
724,5.1.2,5.2,73176433
725,5.1.2,5.2,73176451
726,5.1.2,5.2,73177786
727,5.1.2,5.2,73177810
728,5.1.2,5.2,73181829
729,5.1.2,5.2,73182709
730,5.1.2,5.2,73182731
731,5.1.2,5.2,73187860
732,5.1.2,5.2,73189521
733,5.1.2,5.2,73191576
734,5.1.2,5.2,73191737
735,5.1.2,5.2,73191761
736,5.1.2,5.2,73193073
737,5.1.2,5.2,58559540
738,5.1.2,5.2,58561109
739,5.1.2,5.2,58567096
740,5.1.2,5.2,58570575
741,5.1.2,5.2,58576706
742,5.1.2,5.2,58577110
743,5.1.2,5.2,58577253
744,5.1.2,5.2,58579837
745,5.1.2,5.2,58583359
746,5.1.2,5.2,58585638
747,5.1.2,5.2,58585640
748,5.1.2,5.2,58588528
749,5.1.2,5.2,58589350
750,5.1.2,5.2,58589372
751,5.1.2,5.2,58589639
752,5.1.2,5.2,58591910
753,5.1.2,5.2,58592449
754,5.1.2,5.2,58593350
755,5.1.2,5.2,58593447
756,5.1.2,5.2,58593624
757,5.1.2,5.2,58594072
758,5.1.2,5.2,58597734
759,5.1.2,5.2,58602196
760,5.1.2,5.2,58607401
761,5.1.2,5.2,58609197
762,5.1.2,5.2,58613308
763,5.1.2,5.2,58613626
764,5.1.2,5.2,58620123
765,5.1.2,5.2,58660801
766,5.1.2,5.2,58660926
767,5.1.2,5.2,58712562
768,5.1.2,5.2,58712564
769,5.1.2,5.2,58712790
770,5.1.2,5.2,58713136
771,5.1.2,5.2,58724686
772,5.1.2,5.2,58725347
773,5.1.2,5.2,58730427
774,5.1.2,5.2,58733052
775,5.1.2,5.2,58742597
776,5.1.2,5.2,58742716
777,5.1.2,5.2,58743505
778,5.1.2,5.2,58745780
779,5.1.2,5.2,58751549
780,5.1.2,5.2,58751834
