,pr_number,title,base_sha,head_sha
0,2015,SONAR-9122 prevent setting a project as private,b10cb50ec7c26a85dd549de6633e60705994bd66,13bb5a131e0fa2c20f041d4e8c79e847fc601348
1,2008,Upgrade scanner in performance tests,7b2958e443c4c629f3e35aba7182d7cb524b250b,9a90c2f7097fab8fe94681b1e7ea09294a308314
2,2026,SQ 6.4 web hardening 5,87d60ccc748d84f55f7c102b6ec6d489215eef8f,368935160f780caf8a9b7ff250606e84c68c50cb
3,2046,Hardening Wednesday,7f939f50b63f7c6ac7aab6d8fbb71a06193df0be,285e16edf389aa34db2bc2f0ce99a2e3042f3f32
4,2021,SONAR-6135 Upgrade MySQL driver to 5.1.42,6d18fa56e8782e022169738587750dfe59b4015a,da23d42a0af4db59d7aeac71dd51f659b43f763b
5,2035,use prettier-css,6074390ad98bfe1eb95bec0f73997cb76fed8451,5f6835ce17182ddf7520d6abf44abdf316777d0f
6,2002,ui for private projects,9165e7a3a22bb6790a85d9b78ea679ce7559bea4,14060004cb1b36e677666968faf1bf4b0938df9c
7,2032,Build/multithread and ramfs,2fbb2d7a6c766e7a33fbae4811eb3de160cd1f07,6c91bfd20b020c46455fe267497e7162aa79d683
8,2049,Add method UserSession#keepAuthorizedComponents(),7f939f50b63f7c6ac7aab6d8fbb71a06193df0be,b03aa3b13bc34e7bedcf30c082c399b74204d83a
9,2022,SONAR-9166 allow to change default project visibility on-premise,b09e7a4604b75b7e24e9f0543971db1e70d963b4,e1d281b90860c43eaecdfd59d741ca21c53f58a8
10,2016,Force authentication by default,b10cb50ec7c26a85dd549de6633e60705994bd66,66dcca6c302a3af95f5b7d3ca269588680bf8a82
11,2009,SONAR-9054 Revert WS api/navigation/organization filter out billing pages for personal organization,788e9efeaf3284175b2d3e5079b9256d64239ac8,6945920d11f626a76f02fa4004521fc3a962de1b
12,2024,SONAR-6315 fixing missing rule caching in DefinedQProfileCreation,64a3e43ee8d95c88c0b394ff258d35a2f38504f5,b5055557b40eba7cda1083a30c01ff09790c910a
13,2018,Update scanner perf tests to scanner 2.8,8857bdee5050c71a919085803ad23d292181eaaf,0034c0934364d69f58a7f6f52cacaf88bde4466e
14,2036,SONAR-8894 Compute number of members by organization,87d60ccc748d84f55f7c102b6ec6d489215eef8f,f16ba7b4228e0908d7dd7495be1d3905b14b577d
15,2044,harderning 6.4 by stas 2,56fd51b9750c20b1c502789c37632d3e60012b0f,830df143011f5f55e53c553a5e1e0d31b4ee251d
16,2001,SQ 6.4 web hardening 3,9165e7a3a22bb6790a85d9b78ea679ce7559bea4,7e7a7274b51d158255b0e09a5b86bbc4c7828753
17,2029,SQ 6.4 web hardening 6,87d60ccc748d84f55f7c102b6ec6d489215eef8f,69301dcfbdb0ecaa14bd96f9da834cb89591a516
18,2023,SONAR-7511 AbstractStoppableExecutorService produce warn logs,ee2bfd067ce35020c51e6505c5262d1491ce0734,6ce1d6dd6ff69a7e641d8a83f10200d94ae221a9
19,2037,web hardening by stas 1,b5055557b40eba7cda1083a30c01ff09790c910a,4d9311f9fbc52f835131e8bb92f599a738a023cd
20,2048,SONAR-9069 silence MsSQL driver logs,a318f6e5bd901174d72ab6c80df720bc2faca907,2f1d1562f7f2441aad7f3060c9a9d7849e145922
21,2025,"SONAR-9079 let favorites not be found as suggestion, if they don’t match",56fd51b9750c20b1c502789c37632d3e60012b0f,aa13ba58ff23a5112328671f971a9dfa82bf6c2e
22,2006,"SONAR-8456, SONAR-8906 Cleanup properties",7b2958e443c4c629f3e35aba7182d7cb524b250b,ac009ab5c5e7b0aded5d54d796b2ade3ff3c6b6f
23,2031,SONAR-9168 do not fail when indexing measure with unexpected text value,c02711383a37622cb43f637312167e1ba3d61ab4,9583b2288eae11f07b52ef59d9d0797ae5f79687
24,2039,improving api/components/suggestions for better UI usability,09b18e8e5722ad989175a6ec7c09b1edccfa962d,7659d11c453fa6163c8389020c18d1824e7b2c48
25,2042,SONAR-9170 do not allow to create custom rules of removed templates,56fd51b9750c20b1c502789c37632d3e60012b0f,afbc4fb6a70a69c1805d1431f6efca3311a18959
26,2003,SONAR-8865 remove old documents from rules/extension index when updating,eac470022f60389536a71dae30d10f463202ce59,dd680ba3c63fe660d39f4dc3b895507e68826fef
27,2017,SONAR-9135 Add safety checks in Cluster configuration,29418552e2af9dfe54a92e48fd98c07828015266,cdb8cc52519166f10ec994270bb02b994f969217
28,2047,SONAR-9174 Display issue box on the last line of its primary location,7f939f50b63f7c6ac7aab6d8fbb71a06193df0be,df68c212834e6404d015c393647d12cf78056622
29,2004,fix loading problem on permission templates page,d8bb46c9d6783d279e9becbddb8d0fcb6ccd6b4d,3fcfd8b7805351d9fb35d68550cb2bd49f42644e
30,2030,MMF-661 rework search,56fd51b9750c20b1c502789c37632d3e60012b0f,50d98c9cb67af6abf1a5ec61ee7d97ae755730d2
31,2034,SONAR-9084 Issue auto-assignment should ignore case when comparing with email address,6074390ad98bfe1eb95bec0f73997cb76fed8451,387eabab6fbf8d6e5591abd8c0ba6cf6d9fd804f
32,2020,SQ 6.4 web hardening 4,6ce1d6dd6ff69a7e641d8a83f10200d94ae221a9,a57870b528cbe96880142baec39fd1d791117e18
33,2041,SONAR-9114 allow to search in “_all_” orgs in api/components/search,133d5af9c0d39429334a140b9ead77bda2b4fe98,4234dd2d9523bd751f845dc1a5fe2289141acf9c
34,2033,Test/tv/ramfs,b261d34ef2daa42d42ea9d2522b6430c6766d4b4,23127fb07795dc1aa402d7cfd49c7c1c43bf3f8a
35,2027,SONAR-9077 let api/components/suggestions return name instead longName,56fd51b9750c20b1c502789c37632d3e60012b0f,4b81394caf88e3380c2d1b498eea9ad5c7b892a4
36,2007,SONAR-8949 let api/rules/update permission check use the specified org,7b2958e443c4c629f3e35aba7182d7cb524b250b,95ab6e7618dfab70486606794dcac2cae28fb3f2
37,2043,SONAR-9148 fix partition size for large inputs in MySQL,1633511736e086e20e303dae82136f4506646ed4,eab7217b24e117dac2145cabd3aaf0072f5dc867
38,2013,Expose router components (used in billing plugin),b10cb50ec7c26a85dd549de6633e60705994bd66,c8db54b2a7cf6204f843339793dba1f2c48f5fbe
39,2045,SQ 6.4 web hardening 7,e8eb4c2591dd1645509d07036a9dadc474eb58f1,c2e1bd2e11bc9d4b3480680b7e261c56abe5a4d3
40,2019,SONAR-8400 Backend cleanup must clean CE and webhook tables,eac470022f60389536a71dae30d10f463202ce59,fcc572a80318b99a4bf31e9cf69fcdb60854e32e
41,2012,SONAR-8924 let api/qualityprofiles/search use project’s organization,b10cb50ec7c26a85dd549de6633e60705994bd66,af90a81aa219d21661eaee26ea795d6d9ed31e2b
42,2040,SONAR-9199 InputFile::content() and InputFile::inputStream() should f…,56fd51b9750c20b1c502789c37632d3e60012b0f,db3bec1d409092c7179fb9824826605d2e1f8011
43,2010,SONAR-6315 insert optimized register quality profiles,b2af375d2e5f09d3e83b04bc483702c92f55ee7f,9e7cede058c62b5785f5619b90d5e93331929871
44,2011,apply feedback on private projects ui,6d18fa56e8782e022169738587750dfe59b4015a,c1e2b7ae4c9e8f7fa5f434021cfc83a2b627c7d1
45,2005,fix extensions using backbone router,d8bb46c9d6783d279e9becbddb8d0fcb6ccd6b4d,464cb35972dcb9e7fc3ebb4c6582eda68b7d408f
46,2014,"SONAR-9156 use org’s default visibility in analysis, if prj not stored",56fd51b9750c20b1c502789c37632d3e60012b0f,f9a578dd283cf3cf04db5792213d313a6aa496ff
47,2028,Fix quality issues,788e9efeaf3284175b2d3e5079b9256d64239ac8,fc9cbe72d20a3ae56d07dfa90eb9bcbf6d70a269
48,2038,SONAR-9182 Add visibility to WS api/projects/search,f16ba7b4228e0908d7dd7495be1d3905b14b577d,d83ff5e2042f848a1640e84ecb30a867311cfae6
49,2050,Add method UserSession#keepAuthorizedComponents(),7f939f50b63f7c6ac7aab6d8fbb71a06193df0be,7092415d880bf71e9f783d8f597716b267f99bab
50,682,SONAR-7088 fix RejectedExecutionException at SQ shutdown,6799c6936b4b53f513e6adcd54c81beffb887719,945ddd5c81c6eb6c1368fe0294bb4ad2f82297a5
51,657,SONAR-6892 WS permissions/search_project_permissions filter by qualifier,0a8a13500a85c8454b30390e236c7588351c88f4,0a8a13500a85c8454b30390e236c7588351c88f4
52,674,cancelled tasks must no be last,e5f5ca562f10727eead9e0de8fe1a090dea8399d,9a86ee019c97e81e698e8387d7bc4ff106b8f05b
53,681,SONAR-7036 Update password of technical user,3e4fbed7522576b9cbf9ee33f62a7d834822e6ff,96405d5fbeddecffbf6723a99bd7cf3fae43739e
54,665,SONAR-7030 Drop most default hardcoded built-in dashboards,f150c047ae04641c69dc7e3a07ac874958d6b88f,25b322acdcfe294d50f015f6685901331f33333a
55,659,Always select queue rows in the same order,bac57da65f5a8ab30cf44d9bfaf9c92df75f3538,1b0505a3bc6aa012a3af41e5faafe2fc2cfe265a
56,667,faster ce processing,99751f508494d59c1394d374163d86a27868106f,ef483f44a0f330c58b16ef843bc722b4e87743a7
57,673,SONAR-6956 Indexing issue should be done by project on each analysis,eb849e55a39f19d0b7333da65331c3fb5c4a314d,8d60a119dc62a8b3351f0c063f8308811b223218
58,685,SONAR-7030 Update widgets from Custom dashboard,15dc8ea86dba565fa8f02814ca7c8fb9130ae3a7,56615aacf1be80baec905ccdc1bbb4d3da61f2c6
59,680,SONAR-6900 Keep quality gate details on successull CE tasks,0a5e742023c7ee832c2b52de93e1c27cf76c34f4,0a5e742023c7ee832c2b52de93e1c27cf76c34f4
60,664,fix CE processing starting before Views or Devcockpit at startup,ef483f44a0f330c58b16ef843bc722b4e87743a7,9a62922f872af2d3dbbe514cd9c47137d66acded
61,656,Batch rework,0a8a13500a85c8454b30390e236c7588351c88f4,f627842b8d37623bbf2f4bb79c28905630a0b25a
