,issue_id,fixVersion_name,fixVersion_id
1690,70516,7.1,14178
1691,70515,6.7.3,14264
1692,70515,7.1,14178
1693,70436,7.1,14178
1694,70402,7.1,14178
1695,70362,7.1,14178
1696,70355,7.1,14178
1697,70329,7.1,14178
1698,70300,6.7.3,14264
1699,70300,7.1,14178
1700,70296,7.1,14178
1701,70295,7.4,14549
1702,70065,7.2,14213
1703,70051,7.2,14213
1704,70042,7.1,14178
1705,70026,7.2,14213
1706,70010,7.8,14939
1707,70006,7.1,14178
1708,70004,7.2,14213
1709,69999,7.1,14178
1710,69966,7.1,14178
1711,69956,7.1,14178
1712,69914,7.1,14178
1713,69884,6.7.3,14264
1714,69864,7.2,14213
1715,69841,7.1,14178
1716,69838,7.1,14178
1717,69835,7.1,14178
1718,69819,7.1,14178
1719,69706,7.1,14178
1720,69606,7.1,14178
1721,69605,7.1,14178
1722,69555,6.7.2,14191
1723,69547,7.1,14178
1724,69530,7.2,14213
1725,69512,7.1,14178
1726,69481,7.2,14213
1727,69473,7.1,14178
1728,69443,7.1,14178
1729,69441,7.1,14178
1730,69428,7.1,14178
1731,69403,6.7.2,14191
1732,69403,7.1,14178
1733,69367,7.1,14178
1734,69322,7.2,14213
1735,69293,7.2,14213
1736,69280,6.7.2,14191
1737,69280,7.1,14178
1738,69217,7.1,14178
1739,69206,7.1,14178
1740,69201,6.7.2,14191
1741,69201,7.1,14178
1742,69196,6.7.2,14191
1743,69196,7.1,14178
1744,69192,8.1,15243
1745,69191,6.7.2,14191
1746,69191,7.1,14178
1747,69115,7.1,14178
1748,69101,7.1,14178
1749,69072,7.1,14178
1750,69063,7.1,14178
1751,69038,7.1,14178
1752,69023,7.1,14178
1753,69017,7.1,14178
1754,68976,7.0,14041
1755,68969,7.1,14178
1756,68957,7.1,14178
1757,68956,7.2,14213
1758,68955,7.1,14178
1759,68952,7.1,14178
1760,68785,7.1,14178
1761,68903,7.1,14178
1762,68900,7.1,14178
1763,68898,7.1,14178
1764,68896,7.1,14178
1765,68895,7.1,14178
1766,68890,7.1,14178
1767,68888,7.2,14213
1768,68877,7.1,14178
1769,68874,6.7.2,14191
1770,68874,7.1,14178
1771,68863,7.1,14178
1772,68862,7.1,14178
1773,68861,7.1,14178
1774,68860,7.1,14178
1775,68856,7.1,14178
1776,68853,7.1,14178
1777,68840,7.2,14213
1778,68824,7.1,14178
1779,68791,7.4,14549
1780,68771,7.0,14041
1781,68748,7.2,14213
1782,68747,7.1,14178
1783,68746,6.7.2,14191
1784,68746,7.1,14178
1785,68693,7.1,14178
1786,68685,7.1,14178
1787,68684,7.1,14178
1788,68667,7.1,14178
1789,68661,7.1,14178
1790,68631,7.2,14213
1791,68625,7.1,14178
1792,68624,7.1,14178
1793,68618,7.1,14178
1794,68617,7.1,14178
1795,68616,7.1,14178
1796,68615,7.1,14178
1797,68613,7.1,14178
1798,68612,7.1,14178
1799,68610,7.1,14178
1800,68605,7.1,14178
1801,68604,7.1,14178
1802,68589,7.1,14178
1803,68586,7.1,14178
1804,68561,7.1,14178
1805,68474,7.1,14178
1806,68310,6.7.2,14191
1807,68310,7.0,14041
1808,68469,6.7.2,14191
1809,68469,7.0,14041
1810,68467,7.2,14213
1811,68414,7.1,14178
1812,68403,7.1,14178
1813,68392,7.1,14178
1814,68391,7.1,14178
1815,68365,7.1,14178
1816,68340,7.2,14213
1817,68334,7.9,14945
1818,68323,6.7.3,14264
1819,68323,7.1,14178
1820,68007,7.0,14041
1821,68313,7.2,14213
1822,68293,7.0,14041
1823,68292,7.1,14178
1824,68291,7.1,14178
1825,68281,7.7,14848
1826,68059,7.2,14213
1827,68251,7.1,14178
1828,68216,7.1,14178
1829,68214,7.1,14178
1830,68196,7.1,14178
1831,68195,7.1,14178
1832,68185,7.8,14939
1833,68183,6.7.2,14191
1834,68183,7.0,14041
1835,68180,7.1,14178
1836,68138,7.0,14041
1837,68128,7.2,14213
1838,68108,7.0,14041
1839,68105,6.7.2,14191
1840,68105,7.0,14041
1841,68069,7.0,14041
1842,68064,7.0,14041
1843,68042,7.0,14041
1844,68029,6.7.2,14191
1845,68029,7.0,14041
1846,68018,7.0,14041
1847,67976,7.1,14178
1848,67971,7.2,14213
1849,67949,7.1,14178
1850,67943,7.0,14041
1851,67935,7.0,14041
1852,67909,7.1,14178
1853,67908,6.7.3,14264
1854,67908,7.1,14178
1855,67836,7.0,14041
1856,67831,6.7.2,14191
1857,67831,7.0,14041
1858,67810,6.7.1,14137
1859,67810,7.0,14041
1860,67807,6.7.2,14191
1861,67807,7.0,14041
1862,67783,6.7.1,14137
1863,67783,7.0,14041
1864,67736,7.0,14041
1865,67704,6.7.1,14137
1866,67704,7.0,14041
1867,67699,7.4,14549
1868,67697,7.1,14178
1869,67696,7.1,14178
1870,67683,7.2,14213
1871,67678,7.1,14178
1872,67657,7.1,14178
1873,67651,7.2,14213
1874,67600,7.8,14939
1875,67592,7.1,14178
1876,67591,7.3,14464
1877,67579,6.7.1,14137
1878,67579,7.0,14041
1879,67574,7.0,14041
1880,67571,6.7.1,14137
1881,67571,7.0,14041
1882,67548,7.2,14213
1883,67547,7.0,14041
1884,67546,7.0,14041
1885,67545,7.0,14041
1886,67541,7.0,14041
1887,67494,7.0,14041
1888,67491,7.6,14753
1889,67477,7.0,14041
1890,67474,6.7.1,14137
1891,67474,7.0,14041
1892,67465,6.7.1,14137
1893,67465,7.0,14041
1894,67455,7.1,14178
1895,67364,7.0,14041
1896,67353,7.0,14041
1897,67302,7.1,14178
1898,67278,7.0,14041
1899,67246,6.7.1,14137
1900,67246,7.0,14041
1901,67210,7.0,14041
