,from_tag,to_tag,ahead_by,behind_by,from_sha,to_sha
136,5.1.1,5.3,3426,0,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
137,6.3.2,5.3,0,4340,84ad17dd4e53eae1221d1af96fb45d8997f2e2fa,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
138,6.2,5.3,0,3307,4a28f29f95254b58f3cf0a0871bc632e998403f5,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
139,6.0,5.3,0,2019,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
140,6.1,5.3,0,2611,442f1a11b2365618f58f3f456a756995a6318225,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
141,5.1.2,5.3,3414,0,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
142,5.1,5.3,3433,0,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
143,5.6,5.3,0,1512,074f3d1169f9688d15af4aff67e7e672cbeed782,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
144,5.6.6,5.3,0,1613,05221592672b903c703c0424dc77458e615c106d,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
145,5.6.4,5.3,0,1599,52298794f1a34a4fd713ff8d441a0c13432e40a9,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
146,6.5,5.3,0,5789,ef2ca5b33e5795b841d45e0b20fef3cb90391719,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
147,5.4,5.3,0,438,7b02df9be3cd9448699b5857586e1c6e2b28c007,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
148,6.3,5.3,0,4322,43ea4f4c43aa89d4c435017f86d0da254e115e6b,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
149,5.6.7,5.3,0,1623,3de1bdeb3255fedc75885313205143f28aa89e9c,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
150,6.1.1,5.3,0,2615,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
151,6.4,5.3,0,5376,ad64a17b531c0e1f6fef0ce7e4d0d0b060977754,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
152,5.2,5.3,561,0,f045be98be3ba032b6b19d71574038eeeb91803b,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
153,5.6.5,5.3,0,1610,29a8d73d1b3fb39fd35c777bf07be40873391517,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
154,5.6,5.4,0,1074,074f3d1169f9688d15af4aff67e7e672cbeed782,7b02df9be3cd9448699b5857586e1c6e2b28c007
155,5.2,5.4,999,0,f045be98be3ba032b6b19d71574038eeeb91803b,7b02df9be3cd9448699b5857586e1c6e2b28c007
156,6.1,5.4,0,2173,442f1a11b2365618f58f3f456a756995a6318225,7b02df9be3cd9448699b5857586e1c6e2b28c007
157,5.6.1,5.4,0,1106,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,7b02df9be3cd9448699b5857586e1c6e2b28c007
158,5.6.5,5.4,0,1172,29a8d73d1b3fb39fd35c777bf07be40873391517,7b02df9be3cd9448699b5857586e1c6e2b28c007
159,6.3.1,5.4,0,3895,54be39f47d188340b14d4d9236bbf3d43b1db2ae,7b02df9be3cd9448699b5857586e1c6e2b28c007
160,6.0,5.4,0,1581,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,7b02df9be3cd9448699b5857586e1c6e2b28c007
161,5.6.7,5.4,0,1185,3de1bdeb3255fedc75885313205143f28aa89e9c,7b02df9be3cd9448699b5857586e1c6e2b28c007
162,6.3.2,5.4,0,3902,84ad17dd4e53eae1221d1af96fb45d8997f2e2fa,7b02df9be3cd9448699b5857586e1c6e2b28c007
163,5.1.2,5.4,3852,0,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,7b02df9be3cd9448699b5857586e1c6e2b28c007
164,5.6.3,5.4,0,1144,a68d912046cfbbe3f9d1493ab53414face1adae2,7b02df9be3cd9448699b5857586e1c6e2b28c007
165,6.1.1,5.4,0,2177,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,7b02df9be3cd9448699b5857586e1c6e2b28c007
166,5.6.2,5.4,0,1131,9c1c190107023ffca5f67d6d0184ff5371c5347f,7b02df9be3cd9448699b5857586e1c6e2b28c007
167,6.4,5.4,0,4938,ad64a17b531c0e1f6fef0ce7e4d0d0b060977754,7b02df9be3cd9448699b5857586e1c6e2b28c007
168,5.6.6,5.4,0,1175,05221592672b903c703c0424dc77458e615c106d,7b02df9be3cd9448699b5857586e1c6e2b28c007
169,6.2,5.4,0,2869,4a28f29f95254b58f3cf0a0871bc632e998403f5,7b02df9be3cd9448699b5857586e1c6e2b28c007
170,5.5,5.4,0,725,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,7b02df9be3cd9448699b5857586e1c6e2b28c007
171,6.3,5.4,0,3884,43ea4f4c43aa89d4c435017f86d0da254e115e6b,7b02df9be3cd9448699b5857586e1c6e2b28c007
172,4.5.6,5.4,6226,68,12d931e5a31e1692a428bbb34ba11cd63aebf998,7b02df9be3cd9448699b5857586e1c6e2b28c007
173,5.3,5.4,438,0,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,7b02df9be3cd9448699b5857586e1c6e2b28c007
174,5.1.1,5.4,3864,0,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,7b02df9be3cd9448699b5857586e1c6e2b28c007
175,6.5,5.4,0,5351,ef2ca5b33e5795b841d45e0b20fef3cb90391719,7b02df9be3cd9448699b5857586e1c6e2b28c007
176,5.1,5.4,3871,0,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,7b02df9be3cd9448699b5857586e1c6e2b28c007
177,5.6.4,5.4,0,1161,52298794f1a34a4fd713ff8d441a0c13432e40a9,7b02df9be3cd9448699b5857586e1c6e2b28c007
178,4.5.7,5.4,6226,75,e2afb0bff1b8be759789d2c1bc9348de6f519f83,7b02df9be3cd9448699b5857586e1c6e2b28c007
179,6.6,5.4,0,6406,353296630a2d150f48c76183e82188dfcaa42df0,7b02df9be3cd9448699b5857586e1c6e2b28c007
180,4.5.6,5.5,6951,68,12d931e5a31e1692a428bbb34ba11cd63aebf998,5773a4aab0ef6c0de79d3038e82f8a051049d6d0
181,5.6.1,5.5,0,381,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,5773a4aab0ef6c0de79d3038e82f8a051049d6d0
182,6.6,5.5,0,5681,353296630a2d150f48c76183e82188dfcaa42df0,5773a4aab0ef6c0de79d3038e82f8a051049d6d0
183,6.5,5.5,0,4626,ef2ca5b33e5795b841d45e0b20fef3cb90391719,5773a4aab0ef6c0de79d3038e82f8a051049d6d0
184,5.6.4,5.5,0,436,52298794f1a34a4fd713ff8d441a0c13432e40a9,5773a4aab0ef6c0de79d3038e82f8a051049d6d0
185,6.1.1,5.5,0,1452,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,5773a4aab0ef6c0de79d3038e82f8a051049d6d0
186,4.5.7,5.5,6951,75,e2afb0bff1b8be759789d2c1bc9348de6f519f83,5773a4aab0ef6c0de79d3038e82f8a051049d6d0
187,5.1,5.5,4596,0,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,5773a4aab0ef6c0de79d3038e82f8a051049d6d0
