,from_tag,from_date,from_sha,to_sha,ahead_by,behind_by,to_tag,to_date,diff_dates,diff_days
630,6.4,2017-06-02 08:32:25,ad64a17b531c0e1f6fef0ce7e4d0d0b060977754,bcc8082815b493171a30ae32dfef9d9c278804a4,325,0,6.5-M2,2017-07-05 17:09:06,33 days 08:36:41,33.35880787037037
710,6.4-RC1,2017-05-16 15:00:32,04b7bf3ccc22daea116a67e6ba174237805e5ccf,8e826b1066ffea29958f8c5ac09244baa624dafd,12,0,6.4-RC2,2017-05-22 10:00:44,5 days 19:00:12,5.7918055555555545
689,6.4-RC2,2017-05-22 10:00:44,8e826b1066ffea29958f8c5ac09244baa624dafd,1f978d91e82d8ddbe49806ee6d32bc93e8f6a42f,12,0,6.4-RC3,2017-05-29 09:55:18,6 days 23:54:34,6.996226851851853
669,6.4-RC3,2017-05-29 09:55:18,1f978d91e82d8ddbe49806ee6d32bc93e8f6a42f,ad64a17b531c0e1f6fef0ce7e4d0d0b060977754,11,0,6.4,2017-06-02 08:32:25,3 days 22:37:07,3.9424421296296295
515,6.5,2017-08-01 11:58:54,ef2ca5b33e5795b841d45e0b20fef3cb90391719,868e9ce285262e5277c158ea3c2082c379e81943,1046,0,6.6-RC1,2017-10-10 17:03:23,70 days 05:04:29,70.21144675925926
610,6.5-M2,2017-07-05 17:09:06,bcc8082815b493171a30ae32dfef9d9c278804a4,3861f8769afa40e556c63ff7f39a41f9f89f68fa,66,0,6.5-RC1,2017-07-13 17:11:40,8 days 00:02:34,8.001782407407408
573,6.5-M3,2017-07-13 17:56:59,ca28dd4ed34ab7c6e6066dd44820fe815c21b7a8,fa58d92ea7145838c8030fc4611a4bdefe94b5de,14,0,6.5-RC2,2017-07-24 15:42:40,10 days 21:45:41,10.906724537037036
536,6.5-M4,2017-07-24 16:45:48,4815ccb899b0cff352dd979024afd46db878b692,ef2ca5b33e5795b841d45e0b20fef3cb90391719,6,0,6.5,2017-08-01 11:58:54,7 days 19:13:06,7.800763888888889
590,6.5-RC1,2017-07-13 17:11:40,3861f8769afa40e556c63ff7f39a41f9f89f68fa,ca28dd4ed34ab7c6e6066dd44820fe815c21b7a8,1,0,6.5-M3,2017-07-13 17:56:59,0 days 00:45:19,0.031469907407407405
553,6.5-RC2,2017-07-24 15:42:40,fa58d92ea7145838c8030fc4611a4bdefe94b5de,4815ccb899b0cff352dd979024afd46db878b692,1,0,6.5-M4,2017-07-24 16:45:48,0 days 01:03:08,0.043842592592592586
477,6.6,2017-10-20 12:09:25,353296630a2d150f48c76183e82188dfcaa42df0,3f72c27bf24dcecfad0e0901797e6d166532de72,348,0,6.7-RC1,2017-10-27 14:27:52,7 days 02:18:27,7.096145833333333
496,6.6-RC1,2017-10-10 17:03:23,868e9ce285262e5277c158ea3c2082c379e81943,353296630a2d150f48c76183e82188dfcaa42df0,9,0,6.6,2017-10-20 12:09:25,9 days 19:06:02,9.795856481481481
439,6.7,2017-11-07 15:03:37,5d031d9d2ac3f69b4b9bc600d50563b1886c7d8b,426519346f51f7b980a76f9050f983110550509d,25,0,6.7.1,2017-12-20 16:32:02,43 days 01:28:25,43.06140046296297
458,6.7-RC1,2017-10-27 14:27:52,3f72c27bf24dcecfad0e0901797e6d166532de72,5d031d9d2ac3f69b4b9bc600d50563b1886c7d8b,25,0,6.7,2017-11-07 15:03:37,11 days 00:35:45,11.024826388888886
420,6.7.1,2017-12-20 16:32:02,426519346f51f7b980a76f9050f983110550509d,e3ae3ad6546d35ab9eb7c244352a58eea0a2f124,30,0,6.7.2,2018-02-22 16:56:57,64 days 00:24:55,64.01730324074074
312,6.7.1,2017-12-20 16:32:02,426519346f51f7b980a76f9050f983110550509d,b19047de0e815b1c6474770e8bc0fff41daa4d01,419,0,7.0-RC1,2018-01-24 14:36:36,34 days 22:04:34,34.91983796296297
401,6.7.2,2018-02-22 16:56:57,e3ae3ad6546d35ab9eb7c244352a58eea0a2f124,baa823c2ae6ed4dd406b2ef12bc5ac6201e466f9,15,0,6.7.3,2018-04-06 14:12:21,42 days 21:15:24,42.885694444444454
382,6.7.3,2018-04-06 14:12:21,baa823c2ae6ed4dd406b2ef12bc5ac6201e466f9,b62b59da1adf991c41ed0730684f813d4116f6cc,20,0,6.7.4,2018-05-30 07:23:04,53 days 17:10:43,53.715775462962974
363,6.7.4,2018-05-30 07:23:04,b62b59da1adf991c41ed0730684f813d4116f6cc,ec8ab77fa180a9edaf664075e8e76ae0b4a2d9f1,27,0,6.7.5,2018-08-06 10:17:09,68 days 02:54:05,68.12089120370369
344,6.7.5,2018-08-06 10:17:09,ec8ab77fa180a9edaf664075e8e76ae0b4a2d9f1,302f75de1ec5df6e983970f3c76b86ee02b1cd26,16,0,6.7.6,2018-11-19 15:51:14,105 days 05:34:05,105.23200231481482
325,6.7.6,2018-11-19 15:51:14,302f75de1ec5df6e983970f3c76b86ee02b1cd26,4aa6d928f960303eb990d50c275513a517c85e69,12,0,6.7.7,2019-04-16 15:38:04,147 days 23:46:50,147.99085648148147
268,7.0,2018-02-02 12:20:31,3b827a9a9a4b133c9fbe168aec8db44d78efeaeb,cb851ba202973bd468e070572c1e3b0b0437d2f4,1801,0,7.5,2018-12-18 09:56:40,318 days 21:36:09,318.90010416666667
