,issue_id,component_name,component_id
750,90549,Security Hotspots,12573
751,90543,Web,11366
752,90535,Security Hotspots,12573
753,90524,l10n & i18n,11085
754,90511,Web,11366
755,90489,Notifications,11064
756,90445,Web,11366
757,90445,Web API,11100
758,90434,Quality Profile,11074
759,90431,Web API,11100
760,90401,Measures,11112
761,90401,Web API,11100
762,90397,Security Hotspots,12573
763,90394,Portfolio & Application,12272
764,90394,Security Hotspots,12573
765,90384,Security Hotspots,12573
766,90383,Security Hotspots,12573
767,90382,Security Hotspots,12573
768,90381,Security Hotspots,12573
769,90380,Security Hotspots,12573
770,90379,Security Hotspots,12573
771,90377,Security Hotspots,12573
772,90375,Security Hotspots,12573
773,90374,Security Hotspots,12573
774,90345,Authentication & Authorization,11086
775,90345,Web,11366
776,90342,Documentation,11067
777,90341,Authentication & Authorization,11086
778,90341,Web,11366
779,90340,Web API,11100
780,90334,Documentation,11067
781,90321,Branch & PR,11094
782,90286,Authentication & Authorization,11086
783,90285,Database,11077
784,90281,Database,11077
785,90278,Web,11366
786,90278,Web API,11100
787,90243,Web,11366
788,90216,Web,11366
789,90158,Scanner,11105
790,90155,Database,11077
791,90155,Issues,11096
792,90154,Compute Engine,11118
793,90154,Database,11077
794,90147,Authentication & Authorization,11086
795,90120,Plugin API,11065
796,90114,ElasticSearch,11119
797,90110,ElasticSearch,11119
798,90108,Web,11366
799,90095,Documentation,11067
800,90094,Authentication & Authorization,11086
801,90094,Settings,11891
802,90056,Web,11366
803,90036,Web,11366
804,90006,Authentication & Authorization,11086
805,89985,Web API,11100
806,89983,Database,11077
807,89983,Quality Gate,11101
808,89971,Database,11077
809,89971,Quality Profile,11074
810,89959,Web,11366
811,89944,Web API,11100
812,89942,Branch & PR,11094
813,89942,Web,11366
814,89941,Measures,11112
815,89939,Web,11366
816,89937,Web,11366
817,89926,Activity,11062
818,89926,Web,11366
819,89917,Branch & PR,11094
820,89917,Web API,11100
821,89915,Branch & PR,11094
822,89915,Web,11366
823,89914,Branch & PR,11094
824,89914,Web,11366
825,89913,Web,11366
826,89912,Web,11366
827,89874,Documentation,11067
828,89873,Scanner,11105
829,89872,Scanner,11105
830,89866,Compute Engine,11118
831,89819,Portfolio & Application,12272
832,89819,Web,11366
833,89800,Web,11366
834,89755,Activity,11062
835,89755,Web,11366
836,89633,Branch & PR,11094
837,89633,Web,11366
838,89607,Web,11366
839,89602,Web,11366
840,89596,Web,11366
841,89591,Marketplace,12172
842,89591,Web,11366
843,89590,Marketplace,12172
844,89590,Web,11366
845,89586,Web,11366
846,89585,Web,11366
847,89584,Web,11366
848,89571,Web,11366
849,89558,Web,11366
850,89557,Web,11366
851,89556,Web,11366
852,89554,Web,11366
853,89539,Quality Profile,11074
854,89539,Web,11366
855,89489,Web,11366
856,89435,Issues,11096
857,89435,Rules,11073
858,89428,Portfolio & Application,12272
859,89428,Web,11366
860,89425,Portfolio & Application,12272
861,89425,Web,11366
862,89375,Portfolio & Application,12272
863,89375,UX/UI,11968
864,89375,Web,11366
865,89365,Portfolio & Application,12272
866,89365,Web,11366
867,89293,Web,11366
868,89290,Documentation,11067
869,89290,Web,11366
870,89279,Scanner,11105
871,89277,UX/UI,11968
872,89277,Web,11366
873,89271,Documentation,11067
874,89270,Documentation,11067
875,89257,UX/UI,11968
876,89257,Web,11366
877,89256,UX/UI,11968
878,89256,Web,11366
879,89255,UX/UI,11968
880,89255,Web,11366
881,89254,UX/UI,11968
882,89254,Web,11366
883,89252,UX/UI,11968
884,89252,Web,11366
885,89250,UX/UI,11968
886,89250,Web,11366
887,89249,UX/UI,11968
888,89249,Web,11366
889,89243,Web,11366
890,89242,Web,11366
891,89186,UX/UI,11968
892,89186,Web,11366
893,89171,UX/UI,11968
894,89171,Web,11366
895,89170,UX/UI,11968
896,89170,Web,11366
897,89156,Branch & PR,11094
898,89156,Settings,11891
899,89155,Branch & PR,11094
900,89155,Settings,11891
901,89140,Database,11077
902,89140,Quality Profile,11074
903,89138,Branch & PR,11094
904,89138,Settings,11891
905,89136,Web,11366
906,89132,Portfolio & Application,12272
907,89125,Settings,11891
908,89125,Web,11366
909,89101,Plugin API,11065
910,89101,Rules,11073
911,89099,UX/UI,11968
912,89099,Web,11366
913,89098,UX/UI,11968
914,89098,Web,11366
915,89097,UX/UI,11968
916,89097,Web,11366
917,89096,UX/UI,11968
918,89096,Web,11366
919,89094,UX/UI,11968
920,89094,Web,11366
921,89091,UX/UI,11968
922,89091,Web,11366
923,89065,Settings,11891
924,89065,Web,11366
925,89057,Issues,11096
926,89057,Rules,11073
927,89055,Settings,11891
928,89055,Web,11366
929,59333,Authentication & Authorization,11086
930,42297,Authentication & Authorization,11086
931,87533,Authentication & Authorization,11086
932,89017,Branch & PR,11094
933,88939,Telemetry,12092
934,88912,Web,11366
935,83478,Authentication & Authorization,11086
936,83478,Settings,11891
937,60144,Authentication & Authorization,11086
938,88907,Web,11366
939,88899,Scanner,11105
940,88898,Scanner,11105
941,88892,Authentication & Authorization,11086
942,88858,Authentication & Authorization,11086
943,88792,Web,11366
944,88642,Web,11366
945,88638,Rules,11073
946,88638,Web,11366
947,88623,Database,11077
948,88616,Authentication & Authorization,11086
949,88615,Issues,11096
950,88615,Rules,11073
